manufacturer,nombreproducto,price,img_src,url
GENEVE,RING 3 STONE,"1.795,00 €",https://www.genevecompany.com/36403-large_default/geneve-jewels-ring-3-stone-og49391.jpg ,https://www.genevecompany.com/en/ring/129705-geneve-jewels-ring-3-stone-og49391.html
GENEVE,RING ETERNITY,"1.775,00 €",https://www.genevecompany.com/32625-large_default/geneve-jewels-ring-eternity-gg21997.jpg ,https://www.genevecompany.com/en/ring/199467-geneve-jewels-ring-eternity-gg21997.html
GENEVE,RING CLUSTER,"1.800,00 €",https://www.genevecompany.com/31065-large_default/geneve-jewels-ring-cluster-gg21954.jpg ,https://www.genevecompany.com/en/ring/199280-geneve-jewels-ring-cluster-gg21954.html
GENEVE,RING HALF ETERNITY,"1.930,00 €",https://www.genevecompany.com/34877-large_default/geneve-jewels-ring-half-eternity-gg21787.jpg ,https://www.genevecompany.com/en/ring/199040-geneve-jewels-ring-half-eternity-gg21787.html
GENEVE,RING ETERNITY,"1.860,00 €",https://www.genevecompany.com/32687-large_default/geneve-jewels-ring-eternity-gg22181.jpg ,https://www.genevecompany.com/en/ring/199782-geneve-jewels-ring-eternity-gg22181.html
GENEVE,RING ETERNITY,"1.940,00 €",https://www.genevecompany.com/32690-large_default/geneve-jewels-ring-eternity-gg22189.jpg ,https://www.genevecompany.com/en/ring/199790-geneve-jewels-ring-eternity-gg22189.html
GENEVE,RING HALO,"1.950,00 €",https://www.genevecompany.com/36884-large_default/geneve-jewels-ring-halo-gg22351.jpg ,https://www.genevecompany.com/en/ring/200787-geneve-jewels-ring-halo-gg22351.html
GENEVE,RING SOLITAIRE,"2.030,00 €",https://www.genevecompany.com/34143-large_default/geneve-jewels-ring-solitaire-gg22222.jpg ,https://www.genevecompany.com/en/ring/199961-geneve-jewels-ring-solitaire-gg22222.html
GENEVE,RING HALO,"2.160,00 €",https://www.genevecompany.com/34137-large_default/geneve-jewels-ring-halo-gg22208.jpg ,https://www.genevecompany.com/en/ring/199945-geneve-jewels-ring-halo-gg22208.html
GENEVE,RING GENTS,"2.055,00 €",https://www.genevecompany.com/31858-large_default/geneve-jewels-ring-gents-mv1281.jpg ,https://www.genevecompany.com/en/ring/199448-geneve-jewels-ring-gents-mv1281.html
GENEVE,RING CLUSTER,"1.960,00 €",https://www.genevecompany.com/36575-large_default/geneve-jewels-ring-cluster-gg18709.jpg ,https://www.genevecompany.com/en/ring/190285-geneve-jewels-ring-cluster-gg18709.html
GENEVE,RING HALF ETERNITY,"2.190,00 €",https://www.genevecompany.com/34117-large_default/geneve-jewels-ring-half-eternity-gg22251.jpg ,https://www.genevecompany.com/en/ring/199993-geneve-jewels-ring-half-eternity-gg22251.html
GENEVE,RING HALF ETERNITY,"1.845,00 €",https://www.genevecompany.com/32655-large_default/geneve-jewels-ring-half-eternity-gg22029.jpg ,https://www.genevecompany.com/en/ring/199499-geneve-jewels-ring-half-eternity-gg22029.html
GENEVE,RING HALF ETERNITY,"2.165,00 €",https://www.genevecompany.com/33698-large_default/geneve-jewels-ring-half-eternity-gg21709.jpg ,https://www.genevecompany.com/en/ring/198713-geneve-jewels-ring-half-eternity-gg21709.html
GENEVE,RING HALF ETERNITY,"2.165,00 €",https://www.genevecompany.com/29644-large_default/geneve-jewels-ring-half-eternity-gg21710.jpg ,https://www.genevecompany.com/en/ring/198716-geneve-jewels-ring-half-eternity-gg21710.html
GENEVE,RING,"2.195,00 €",https://www.genevecompany.com/32615-large_default/geneve-jewels-ring-gg22167.jpg ,https://www.genevecompany.com/en/ring/199766-geneve-jewels-ring-gg22167.html
GENEVE,RING,"2.195,00 €",https://www.genevecompany.com/32616-large_default/geneve-jewels-ring-gg22168.jpg ,https://www.genevecompany.com/en/ring/199767-geneve-jewels-ring-gg22168.html
GENEVE,RING,"2.245,00 €",https://www.genevecompany.com/34914-large_default/geneve-jewels-ring-gg22378.jpg ,https://www.genevecompany.com/en/ring/200826-geneve-jewels-ring-gg22378.html
